equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,owner,assigned_to,downtime_hours,completed_datetime,comments,attachments
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,5846,05/31/2023,2. General Maint - High Priority,Received two different fire alarm events today displaying low fuel alarm coming from our back up Generator .,Closed and Completed,5,0.6,Mike D Max,,,0,05/31/2023 12:00 AM,Miguel Diaz - 05/31/23  1:53:46 PM: Troubleshoot on back up generator/ Kohler and found that the analog for number 3 and 4 was under 40 if the # is under 40 then it triggers the alarm  also notice O/R which means out of range .I looked into it further and found that the sending unit that goes from the storage tank to the Kohler controller was not responding. I did find a bad connection  replaced connectors number is now above 40 and its at 55 .Open attachment to view picture if needed .,"[{'name': 'Fire alarm panel low fuel alarm  5-31-23.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/284?guid=34e573f3-d563-4373-9271-773633a2b3da'}]"
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,6846,08/15/2023,2. General Maint - High Priority,"Received a call and message from the janitorial night crew advising the fire alarm panel was ringing with message :
Alarm Smoke Photo garage elevator 3rd floor Z030 Time 2:28am Fire department came out and reset the fire alarm panel .",Closed and Completed,0,0.5,Mike diaz,,,0,08/15/2023 12:00 AM,Miguel Diaz - 08/15/23 10:06:54 AM: When i came in i knew this alone does not fix the issue the smoke detector still has to get cleaned .I do know we just had the elevator in the parking garage worked on when they replaced the governor rope so that is what tripped the smoke alarm the dust from the workers got the smoke detector dirty therefore  tripping the alarm .I replaced the smoke detector this morning along with resetting the elevator from the first floor using the keys from the room next to the fire alarm panel .,[]
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,6903,08/21/2023,2. General Maint - High Priority,Found fire alarm panel in trouble mode sounding off .,Closed and Completed,475,2,LADS,,,0,08/21/2023 12:00 AM,"Miguel Diaz - 11/01/23  1:45:50 PM: Cost is in to close out the work order .Open attachment if needed to view invoice . | Miguel Diaz - 08/22/23  6:37:45 AM: Los Angeles detection systems was able to come by yesterday and replace the pull station they found it not talking to the fire system panel  .All systems are back to normal we will add silicone to all openings to keep the water out of the electronics to keep this from happening again .Work order will stay open till final cost are  in . | Miguel Diaz - 08/21/23  7:40:55 AM: Alarm displayed two alarms Trouble pull station garage  2nd floor east INVREP(IM034)
Trouble pull station 1 strl  sw whse INVREP (IM056) Tigran has been called in  for service he will try and re route someone today or tomorrow for now if you hear the alarm going off please silence it only do not reset till it can be fixed .
Thanks","[{'name': 'Fire riser model replacement  2023 invoice _Los_Angeles_Detection_Systems_Inc.pdf', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/450?guid=cede0d4f-0bc0-4a22-8b92-d36cd8d8aa73'}]"
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,6964,08/23/2023,2. General Maint - High Priority,Matt called and left a message advising the fire alarm tripped saying smoke alarm garage 3rd floor elevator Josh Warren reset alarm .,Closed and Completed,0,1.5,Mike,,,0,08/23/2023 12:00 AM,Miguel Diaz - 08/23/23  9:16:51 AM: When i saw the message i called the center station and placed zone 11 on test till i can troubleshoot the next day  .Today I was I able to locate the alarm in front of the elevator door  by removing the smoke alarm and having max at the fire alarm panel and having him watch what  alarm pops up  when i remove it if its the same message zone or not since it was what we been getting then that's the one that needs cleaning or replacement .Removed smoke alarm and cleaned it .,[]
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,7398,09/28/2023,2. General Maint - High Priority,LA detection systems did our  Reg 4 testing and advised all 6 batteries get replaced  in the fire alarms boxes asap,Closed and Completed,227.46,1,Mike Max,,,0,09/28/2023 12:00 AM,"Miguel Diaz - 09/29/23  7:34:01 AM: Replaced QTY 2 MODEL PS-127F1 
Replaced QTY 4 MODEL PS-12180F2",[]
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,7400,09/29/2023,2. General Maint - High Priority,When opening the building this morning I found the fire alarm panel ringing display said trouble smoke photo duct AC 1-4,Closed and Completed,150,1.7,Mike Max,,,0,09/29/2023 12:00 AM,Miguel Diaz - 09/29/23  8:48:33 AM: Troubleshoot found ac unit 1-4 on roof  with insulation coming off the door leaning in towards the exhaust  fan causing this issue .Insulation was re-glued back to the door .Cleaned smoke alarm from the duct  but fire panel would still not reset after replacing the smoke alarm model SD355 Fire alarm panel did reset .System is off Test .Open attachment to view pictures if needed .,"[{'name': 'sk1.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/424?guid=0393e1bd-d296-4f76-8f35-f0ba2cd0a5ff'}, {'name': 'sk2.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/425?guid=0393e1bd-d296-4f76-8f35-f0ba2cd0a5ff'}, {'name': 'sk3.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/426?guid=0393e1bd-d296-4f76-8f35-f0ba2cd0a5ff'}]"
2133,EQ ID 2133,Fire Alarm Panel,Maintenance,12684,08/07/2024,2. General Maint - High Priority,When arriving this morning i found the fire alarm fully activated .,Closed and Completed,0,1.5,Mike d,,,0,08/07/2024 12:00 AM,Miguel Diaz - 08/07/24  7:58:46 AM: This was one hour before my shift had to open the building and deactivate the security alarm on both floors before looking at the fire alarm .Fire alarm panel advised smoke (photo) duct 1-1 .I Silenced it and reset the alarm I then called the alarm company to advise that the alarm was a false alarm and to notify the fire department not to come out .Placed fire alarm on test then Located AC 1-1 smoke sensor removed  it and cleaned it internally .Cleared  test system back to normal .,[]
2136,EQ ID 2136,Service kart,Maintenance,2365,09/14/2022,4. Prod Continuing but Affected Equipment stopped,Gold Kart has not worked in a month it does not move forward or reverse .,Closed and Completed,0,1,Mike D,,,0,09/14/2022 12:00 AM,Miguel Diaz - 09/14/22  7:32:37 AM: After troubleshooting today i found 2 wires have been cut this could not have happened accidently it looks more like intentional .Either way i found the problem kart is working again .,[]
1926,EQ ID 1926,Exit Doors,Maintenance,3064,10/27/2022,6. General Maint,Exit double doors exiting TPF to the rear yard has weather strips that are ripped,Closed and Completed,118.33,0.5,Mike D,,,0,10/27/2022 12:00 AM,"Miguel Diaz - 10/27/22  8:21:05 AM: Replaced both door weatherstrip ,hollow bulb insert 8 ft l part 52WZ67",[]
1926,EQ ID 1926,Exit Doors,Maintenance,12574,07/30/2024,2. General Maint - High Priority,Front lobby door not closing properly and can be opened from the outside if you pull on the handle semi hard,Closed and Completed,3945.42,1,Mike d,,,0,07/30/2024 12:00 AM,Miguel Diaz - 07/30/24  8:58:17 AM: Ordered part from Access hardware the part is from CRL Laurence model ESK2SDBS .Its been replaced  .,[]
