Division,Cell/Line/ Dept,Category,Machine and Equipment,Location and/or Workcenter,Type (capex/small tool),Serial No.,Asset #,,Year New,Condition,Service Status (in/out),As of (Year-Month), Estimated/expected replacement cost ,Estimted Replacement Year,ERY: 0-1,ERY: 1-2,ERY: 2-3,ERY:3-4,ERY: 4-5,ERY: 5+,COMMENTS
BLA,Toilet Partitions Factory,Machine,"Saw, Horizontal, Holzma - ID 1361/11446",CL Cell,capex,240025084,11446,,2016,Good,In,2016-02, n/a ,2025,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Saw,Horizontal, Holz-Her - ID 135/11275",HPL Cell,capex,581,11275,,2008,Good,In,2008-02, n/a ,2020,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Scissor Lift # 2 (large) Holz-Her Saw  - ID 814/11278,HPL Cell,Small Tool,N/A,11278,,n/a,Good,In,n/a,"$5,500.00 ",5500,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Scissor Lift #1 (small) Holz-Her Saw  - ID 815/11277,HPL Cell,Small Tool,N/A,11277,,n/a,Good,In,n/a,n/a,2023,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,"Scissor Lift 1/2"" Edge Finisher  - ID 816/11257",CL Cell,Small Tool,N/A,11257,,n/a,Good,In,n/a, n/a ,2022,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,"Scissor Lift 3/4"" solid Edge Finisher - ID 818",CL Cell,Small Tool,N/A,n/a,,n/a,Good,In,n/a, n/a ,2021,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Scissor Lift Holz-Her Edge Bander  - ID 817,HPL Cell,Small Tool,N/A,n/a,,n/a,Good,In,n/a, n/a ,2020,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Scissor Lift Holzma Saw - ID 819,CL Cell,small tool,N/A,n/a,,n/a,Good,In,n/a, n/a ,2016,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,"Screwdriver, Insert, 1080-2 - ID 61",CL Cell,small tool,N/A,N/A,,N/A,Good,In ,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Shaper, Single Spindle, Northfield - ID 155/10892",General,capex,N/A,100892,,N/A,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Scissor Lift, HolzHer Saw - ID 157",HPL Cell,small tool,N/A,N/A,,N/A,Good,In,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,N/A,Solid Cell - ID 1647,n/a,n/a,N/A,n/a,,n/a,n/a,n/a,n/a, n/a ,N/A,,,,,,,This is not a machine/tooling.
BLA,Toilet Partitions Factory,Facilities,Stacker R-19 - ID 181,,small tool,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Step Drill & Stop Phenolic Series Insert  - ID 1563,CL Cell,small tool,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Step Drill 1040 CNC Drilling Machine - ID 1562,HPL Cell,small tool,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Step Drill 1080/1090 CNC Drilling Machine - ID 1561,CL Cell,small tool,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,Tenoner A 517 Single End  - ID 2063,CL Cell,capex,10337,11672,,2021,Good,In,2024-03, n/a ,2030,,,,,,,
BLA,Toilet Partitions Factory,Machine,TLF Intellistore (Rainbow Stacking System)- TLF211 - ID 1877/11564,General,capex,286220468,11564,,2018,Good,In,2018-12,,2028,,,,,x,,
BLA,Toilet Partitions Factory,N/A,TPF   - ID 1658,n/a,n/a,N/A,n/a,,n/a,Good,n/a,n/a,,n/a,,,,,,,This is not a machine/tooling.
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift (Anderson CNC) - ID 768/10844,CL Cell,small tool,5424,10844,,n/a,Good ,In ,n/a,,2019,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,"Vacuum Lift 1/2"" panels packout - ID 130/1080",CL Cell,small tool,4805,1080,,n/a,Good ,In ,n/a,,2022,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift 1080 Line packout - ID 96/10844,CL Cell,small tool,21440,10844,,2007,Good ,In ,2007-03,,2022,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift Evolve Cell - ID 2111,CL Cell,small tool,N/A,N/A,,2008,Good,In,2008-04,,2020,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift Holz-Her Saw - ID 769/11366,HPL Cell,small tool,40412,11366,,2008,Good,In,2008-04,,2020,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift Laminate Pack Out - ID 131/1540,HPL Cell,small tool,21466,1540,,2012,Good,In,2012-10,,2022,,,,x,,,
BLA,Toilet Partitions Factory,Tooling,Vacuum Lift System (Glue Line ) - ID 59/10772,HPL Cell,small tool,21585,10772,,2000,Good,In,2000-02,,2019,,,x,,,,
BLA,Toilet Partitions Factory,Tooling,Taylor Steel Core Press ,CL Cell,capex,PLA79.1634,,,,Good,In,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,D-ayton Stile Leveling Bar Drilling Machine,HPL Cell,capex,,,,,Good,In ,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,Vertical Lift Module ,Hardware Cell,capex,,3186,,2024,Excellent,In,2024-10,,2030,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Glue Viscometer ,HPL Cell,small tool,X241754,N/A,,2024,Good,In,2024-10,$600 ,2030,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Dust Collector, HPL Edge Bander Standalone",HPL Cell,small tool,N/A,N/A,,2024,Good,In,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Dust Collector, CL Tenoner Standalone",CL Cell,small tool,97869,N/A,,N/A,Good,In,N/A,,N/A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
