eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 5301,Maintenance,2110,General Maintenance (NEW MAINT. ADDITION),,,,Jake/Matt,0,3/27/2024 2:11 PM
EQ ID 1416,Maintenance,2110,2013 Chevrolet Silverado,11369,Chevrolet,Silverado,Jake/Matt,2,3/27/2024 2:08 PM
EQ ID 1763,Shower Seats,1140,Wet Dust Collector,11552,Midwest Automation,,Jake/Matt,1,3/27/2024 1:32 PM
EQ ID 296,Shower Seats,1140,Coping Machine,10888,Bader,1004A,Jake/Matt,0,3/27/2024 1:25 PM
EQ ID 1421,Shower Seats,1140,Anver Lift,,Gorbel,Anver Lift,Jake/Matt,0,3/27/2024 12:52 PM
EQ ID 341,Shower Seats,1140,Robotic Welder,,Contour Arc,Robotic Welder,Jake/Matt,0,3/27/2024 12:50 PM
EQ ID 5300,Shower Seats,1140,Lincoln Welder,,Lincoln,Robotic Welder,Jake/Matt,0,3/27/2024 12:42 PM
EQ ID 5299,Tube Mill,1180,Hawker LifePlus MOD3 Battery Charger,,Hawker,LPM3-48C-120Y,Thompson and Johnson,0,3/22/2024 10:27 AM
EQ ID 5298,Tube Mill,1180,Hawker LifePlus 2000 Battery Charger,,Hawker,6L50095,Thompson and Johnson,0,3/22/2024 9:52 AM
EQ ID 336,Maintenance,2110,Bridgeport Milling Machine,,Bridgeport,Series 1,Jake/Matt,0,3/22/2024 8:47 AM
EQ ID 5297,Maintenance,2110,Clark Scissor Lift,10152,Clark,CSL20N,Thompson and Johnson,0,3/22/2024 7:49 AM
EQ ID 1758,Maintenance,2110,Floor Scrubber,11577,Advance Advenger,Advance Advenger 2800ST,Thompson and Johnson,0,3/22/2024 7:33 AM
EQ ID 5296,Shower Seats,1140,Enco Drilling Machine,20975,Enco,1051300,Jake/Matt,0,3/22/2024 4:09 AM
EQ ID 5294,Tube Mill,1180,Burr-master,,Kent Corp,BM2-100,Jake/Matt,0,3/20/2024 11:01 AM
EQ ID 5293,Tube Mill,1180,Dust Collector,,Midwest,DC-5500 SS,Jake/Matt,0,3/20/2024 10:59 AM
EQ ID 5292,Tube Mill,1180,Duo-Cut Hydraulic Pump,,Continental Hydraulics,1019189,Jake/Matt,0,3/20/2024 10:57 AM
EQ ID 5291,Tube Mill,1180,Deep Bed Filter (Main Coolant Tank),,Industrial Filters Co.,DB-75,Jake/Matt,0,3/20/2024 10:21 AM
EQ ID 5290,Tube Mill,1180,Laser Cooling A/C Unit,,IPG,LC170.01-A.3.5/6,Jake/Matt,0,3/20/2024 9:58 AM
EQ ID 5289,Tube Mill,1180,Ytterbium Laser System,,IPG,YLS-5000-S1T,Jake/Matt,0,3/20/2024 9:56 AM
EQ ID 5288,Tube Mill,1180,Shearwelder,,Guild International,VE-10,Jake/Matt,0,3/20/2024 9:52 AM
EQ ID 5031,Tube Mill,1180,Coil Tilter,11469,N/A,N/A,Jake/Matt,0,3/15/2024 11:27 AM
EQ ID 5286,Shipping,7905,Raymond Electric Pallet Jack,10159,Raymond,112TM-FRE60L,Thompson and Johnson,0,3/15/2024 11:15 AM
EQ ID 5285,Shipping,7905,Toyota Forklift,,Toyota,7FBEHU18,Thompson and Johnson,0,3/15/2024 9:29 AM
EQ ID 5284,Shipping,7905,Toyota Forklift,,Toyota,8FBE18U,Thompson and Johnson,0,3/15/2024 9:25 AM
EQ ID 5283,Shipping,7905,Toyota Forklift,,Toyota,8FBE18U,Thompson and Johnson,0,3/15/2024 9:24 AM
EQ ID 5282,Shipping,7905,Toyota Forklift,,Toyota,8FBE18U,Thompson and Johnson,0,3/15/2024 9:15 AM
EQ ID 5281,Shipping,7905,Hawker Lifeplus Battery Charger,,Hawker,LPM3-48C-120Y,Thompson and Johnson,0,3/15/2024 8:51 AM
EQ ID 5280,Shipping,7905,Exide System 1000 Battery Charger,,Exide,G1-12-450,Thompson and Johnson,0,3/15/2024 8:49 AM
EQ ID 5277,Shipping,7905,Hawker LifePlus Battery Charger,,Hawker,LPM3-48C-180Y,Thompson and Johnson,0,3/15/2024 8:43 AM
EQ ID 5279,Shipping,7905,Hawker Lifeguard Battery Charger,,Hawker,LG18-1050F3B,Thompson and Johnson,0,3/15/2024 8:42 AM
EQ ID 5278,Shipping,7905,Hertner Battery Charger,22461,Hertner,3TN18-600,Thompson and Johnson,0,3/15/2024 7:42 AM
EQ ID 5275,Shipping,7905,Jungheinrich Forklift #1,3100,Jungheinrich,EFX413,Thompson and Johnson,0,3/15/2024 6:56 AM
